"variable","importance","model","species"
"wc2.1_2.5m_bio_1",33.0646504180144,"Random Forest","American Robin"
"wc2.1_2.5m_bio_10",33.8503208175669,"Random Forest","American Robin"
"wc2.1_2.5m_bio_11",34.6489741688463,"Random Forest","American Robin"
"wc2.1_2.5m_bio_12",37.8967160780996,"Random Forest","American Robin"
"wc2.1_2.5m_bio_13",27.0914679030182,"Random Forest","American Robin"
"wc2.1_2.5m_bio_14",26.1016726782806,"Random Forest","American Robin"
"wc2.1_2.5m_bio_15",48.0876613352276,"Random Forest","American Robin"
"wc2.1_2.5m_bio_16",27.2285773474967,"Random Forest","American Robin"
"wc2.1_2.5m_bio_17",34.6245407762601,"Random Forest","American Robin"
"wc2.1_2.5m_bio_18",37.4860381309016,"Random Forest","American Robin"
"wc2.1_2.5m_bio_19",29.7465385348263,"Random Forest","American Robin"
"wc2.1_2.5m_bio_2",39.9715203001454,"Random Forest","American Robin"
"wc2.1_2.5m_bio_3",48.2845581480244,"Random Forest","American Robin"
"wc2.1_2.5m_bio_4",33.4224605405277,"Random Forest","American Robin"
"wc2.1_2.5m_bio_5",35.2093643138397,"Random Forest","American Robin"
"wc2.1_2.5m_bio_6",38.5780296186626,"Random Forest","American Robin"
"wc2.1_2.5m_bio_7",33.1990856604555,"Random Forest","American Robin"
"wc2.1_2.5m_bio_8",31.6243840895604,"Random Forest","American Robin"
"wc2.1_2.5m_bio_9",28.417376429003,"Random Forest","American Robin"
"land_cover",70.8013290546626,"Random Forest","American Robin"
"land_cover",0.183850577915403,"XGBoost","American Robin"
"wc2.1_2.5m_bio_1",0.0789564794723909,"XGBoost","American Robin"
"wc2.1_2.5m_bio_10",0.0774913812006522,"XGBoost","American Robin"
"wc2.1_2.5m_bio_2",0.0724259072355822,"XGBoost","American Robin"
"wc2.1_2.5m_bio_11",0.0716569469057611,"XGBoost","American Robin"
"wc2.1_2.5m_bio_17",0.0529453275100608,"XGBoost","American Robin"
"wc2.1_2.5m_bio_5",0.0511397630029719,"XGBoost","American Robin"
"wc2.1_2.5m_bio_12",0.0458653243873197,"XGBoost","American Robin"
"wc2.1_2.5m_bio_18",0.0449454550126864,"XGBoost","American Robin"
"wc2.1_2.5m_bio_3",0.0417700639011559,"XGBoost","American Robin"
"wc2.1_2.5m_bio_8",0.0393555119331026,"XGBoost","American Robin"
"wc2.1_2.5m_bio_9",0.0374458512196269,"XGBoost","American Robin"
"wc2.1_2.5m_bio_15",0.0366642414169692,"XGBoost","American Robin"
"wc2.1_2.5m_bio_6",0.0334080952587314,"XGBoost","American Robin"
"wc2.1_2.5m_bio_4",0.0265013960772516,"XGBoost","American Robin"
"wc2.1_2.5m_bio_14",0.0261939837954271,"XGBoost","American Robin"
"wc2.1_2.5m_bio_16",0.0259066370072724,"XGBoost","American Robin"
"wc2.1_2.5m_bio_7",0.0256698844849343,"XGBoost","American Robin"
"wc2.1_2.5m_bio_13",0.0160455281827626,"XGBoost","American Robin"
"wc2.1_2.5m_bio_19",0.0117616440799374,"XGBoost","American Robin"
"wc2.1_2.5m_bio_1",32.9509126660952,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_10",35.1365793740336,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_11",26.4796221105379,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_12",24.0279396462888,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_13",21.2726354974443,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_14",21.9051371787478,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_15",40.0847980003585,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_16",19.3838950901238,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_17",26.4639129610571,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_18",30.5338100575023,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_19",21.1087962740953,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_2",33.9093728269409,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_3",41.3693323890342,"Random Forest","Steller's Jay"
"wc2.1_2.5m_bio_4",24.4537466145316,"Random Forest","Steller's Jay"
