"variable","mean_abs_shap","species"
"land_cover",0.175541555713513,"American Robin"
"wc2.1_2.5m_bio_1",0.0679417847244767,"American Robin"
"wc2.1_2.5m_bio_11",0.0635579871953232,"American Robin"
"wc2.1_2.5m_bio_10",0.0582132277281489,"American Robin"
"wc2.1_2.5m_bio_5",0.0429950910431799,"American Robin"
"wc2.1_2.5m_bio_17",0.0425437287141103,"American Robin"
"wc2.1_2.5m_bio_2",0.0358960143083677,"American Robin"
"wc2.1_2.5m_bio_6",0.0342871754668886,"American Robin"
"wc2.1_2.5m_bio_3",0.0301660670134006,"American Robin"
"wc2.1_2.5m_bio_9",0.0284734936344321,"American Robin"
"wc2.1_2.5m_bio_12",0.0265216375682503,"American Robin"
"wc2.1_2.5m_bio_18",0.0264850121787167,"American Robin"
"wc2.1_2.5m_bio_8",0.0211855954427156,"American Robin"
"wc2.1_2.5m_bio_15",0.016226147057605,"American Robin"
"wc2.1_2.5m_bio_7",0.0135568756661378,"American Robin"
"wc2.1_2.5m_bio_14",0.0131503290599212,"American Robin"
"wc2.1_2.5m_bio_4",0.0125811151755042,"American Robin"
"wc2.1_2.5m_bio_16",0.0123593295040773,"American Robin"
"wc2.1_2.5m_bio_13",0.00838416767050512,"American Robin"
"wc2.1_2.5m_bio_19",0.00556948726213886,"American Robin"
"land_cover",0.565076480165124,"Steller's Jay"
"wc2.1_2.5m_bio_10",0.270658582208678,"Steller's Jay"
"wc2.1_2.5m_bio_5",0.194207125065848,"Steller's Jay"
"wc2.1_2.5m_bio_12",0.109570722068427,"Steller's Jay"
"wc2.1_2.5m_bio_15",0.0940620552730979,"Steller's Jay"
"wc2.1_2.5m_bio_13",0.0927153905208106,"Steller's Jay"
"wc2.1_2.5m_bio_19",0.0787347989799455,"Steller's Jay"
"wc2.1_2.5m_bio_1",0.0679482577880844,"Steller's Jay"
"wc2.1_2.5m_bio_3",0.0655926024340442,"Steller's Jay"
"wc2.1_2.5m_bio_18",0.0650005415668711,"Steller's Jay"
"wc2.1_2.5m_bio_2",0.0637628709883429,"Steller's Jay"
"wc2.1_2.5m_bio_6",0.0625570055025164,"Steller's Jay"
"wc2.1_2.5m_bio_9",0.0552276353215566,"Steller's Jay"
"wc2.1_2.5m_bio_14",0.0490311102331616,"Steller's Jay"
"wc2.1_2.5m_bio_16",0.0473083756130654,"Steller's Jay"
"wc2.1_2.5m_bio_7",0.0430230414634279,"Steller's Jay"
"wc2.1_2.5m_bio_8",0.0386583855731296,"Steller's Jay"
"wc2.1_2.5m_bio_17",0.0362456854101038,"Steller's Jay"
"wc2.1_2.5m_bio_11",0.0324894737650175,"Steller's Jay"
"wc2.1_2.5m_bio_4",0.0309699289714918,"Steller's Jay"
"land_cover",0.151067742694635,"Red-tailed Hawk"
"wc2.1_2.5m_bio_12",0.0888972471561283,"Red-tailed Hawk"
"wc2.1_2.5m_bio_7",0.0544880948145874,"Red-tailed Hawk"
"wc2.1_2.5m_bio_6",0.0486808447726071,"Red-tailed Hawk"
"wc2.1_2.5m_bio_17",0.0383141177550424,"Red-tailed Hawk"
"wc2.1_2.5m_bio_2",0.0376772369302344,"Red-tailed Hawk"
"wc2.1_2.5m_bio_11",0.0288886278849241,"Red-tailed Hawk"
"wc2.1_2.5m_bio_5",0.0253713461671723,"Red-tailed Hawk"
"wc2.1_2.5m_bio_3",0.0235666269793874,"Red-tailed Hawk"
"wc2.1_2.5m_bio_4",0.0234516430662479,"Red-tailed Hawk"
"wc2.1_2.5m_bio_18",0.0209755312103662,"Red-tailed Hawk"
"wc2.1_2.5m_bio_13",0.0195971839209087,"Red-tailed Hawk"
"wc2.1_2.5m_bio_15",0.0179809758755582,"Red-tailed Hawk"
"wc2.1_2.5m_bio_1",0.0121135414984965,"Red-tailed Hawk"
"wc2.1_2.5m_bio_9",0.0120711641993839,"Red-tailed Hawk"
"wc2.1_2.5m_bio_8",0.0115589702827856,"Red-tailed Hawk"
"wc2.1_2.5m_bio_19",0.0112166018822463,"Red-tailed Hawk"
"wc2.1_2.5m_bio_14",0.0109138160250732,"Red-tailed Hawk"
"wc2.1_2.5m_bio_16",0.0101528233192221,"Red-tailed Hawk"
"wc2.1_2.5m_bio_10",0.00884321769070812,"Red-tailed Hawk"
"land_cover",0.168757748323958,"Spotted Towhee"
"wc2.1_2.5m_bio_12",0.0763634845406341,"Spotted Towhee"
"wc2.1_2.5m_bio_9",0.064258338736021,"Spotted Towhee"
"wc2.1_2.5m_bio_17",0.0619108787798614,"Spotted Towhee"
"wc2.1_2.5m_bio_19",0.0353851313482446,"Spotted Towhee"
"wc2.1_2.5m_bio_16",0.0340748877374572,"Spotted Towhee"
"wc2.1_2.5m_bio_6",0.0300090449254494,"Spotted Towhee"
"wc2.1_2.5m_bio_15",0.0299521769961866,"Spotted Towhee"
