"presence","longitude","latitude","wc2.1_2.5m_bio_1","wc2.1_2.5m_bio_10","wc2.1_2.5m_bio_11","wc2.1_2.5m_bio_12","wc2.1_2.5m_bio_13","wc2.1_2.5m_bio_14","wc2.1_2.5m_bio_15","wc2.1_2.5m_bio_16","wc2.1_2.5m_bio_17","wc2.1_2.5m_bio_18","wc2.1_2.5m_bio_19","wc2.1_2.5m_bio_2","wc2.1_2.5m_bio_3","wc2.1_2.5m_bio_4","wc2.1_2.5m_bio_5","wc2.1_2.5m_bio_6","wc2.1_2.5m_bio_7","wc2.1_2.5m_bio_8","wc2.1_2.5m_bio_9","species"
1,-123.9701954,45.4730044,10.1384258270264,14.0814809799194,6.83333349227905,2383,377,42,62.1318092346191,1090,171,185,1011,8.81203746795654,54.135383605957,302.794891357422,19.3222217559814,3.04444456100464,16.2777767181396,7.1777777671814,13.7666664123535,"Steller's Jay"
1,-123.2679212,44.968191,11.3050003051758,18.246000289917,5.04666662216187,1236,225,13,73.5641174316406,617,64,72,581,12.2239999771118,45.0206260681152,538.408813476562,28.1639995574951,1.01199996471405,27.1520004272461,5.39066648483276,17.9093322753906,"Steller's Jay"
1,-123.2102,45.115898,11.3611669540405,18.3506660461426,5.02866649627686,1115,203,12,73.7773132324219,558,57,66,528,12.2536668777466,44.7671585083008,541.871948242188,28.2719993591309,0.899999976158142,27.3719997406006,5.38466691970825,17.9879989624023,"Steller's Jay"
1,-121.5526056,44.3507699,7.58783340454102,16.0520000457764,-0.123333334922791,498,86,13,64.7690505981445,245,47,50,229,15.4936666488647,45.4679756164551,663.745422363281,28.431999206543,-5.64400005340576,34.076000213623,0.342000007629395,15.8920001983643,"Steller's Jay"
1,-123.234018,44.113308,11.7093334197998,18.8066673278809,5.37333345413208,1312,228,14,70.7923355102539,649,77,83,589,12.2080001831055,44.3798141479492,545.081665039062,28.568000793457,1.06000006198883,27.5080013275146,5.83266639709473,18.3826675415039,"Steller's Jay"
1,-122.584936,45.118641,11.1630001068115,18.0459995269775,4.77600002288818,1344,215,20,60.4155044555664,612,102,106,563,10.7906665802002,42.0459251403809,544.241943359375,26.6040000915527,0.939999997615814,25.6639995574951,5.16400003433228,17.9073333740234,"Steller's Jay"
1,-121.4523709,44.3375997,8.31333351135254,17.0146675109863,0.383999973535538,377,63,12,58.8615989685059,180,42,45,165,15.9820003509521,45.8094482421875,682.594299316406,29.6800003051758,-5.20800018310547,34.8880004882812,0.860666573047638,16.8506660461426,"Steller's Jay"
1,-123.1906112,44.0583454,11.787166595459,18.800666809082,5.50200033187866,1293,222,14,69.8631896972656,636,78,83,573,12.2509994506836,44.8032493591309,541.1728515625,28.5559997558594,1.21200001239777,27.3439998626709,5.95466661453247,18.449333190918,"Steller's Jay"
1,-123.234414,45.456577,10.4469995498657,16.9599990844727,4.45866680145264,1399,244,17,70.7946853637695,684,80,88,648,11.2693328857422,44.8263053894043,511.791198730469,25.6919994354248,0.551999986171722,25.1399993896484,4.7993335723877,16.7213325500488,"Steller's Jay"
1,-122.8409243,45.6597554,10.768500328064,17.2439994812012,4.52533340454102,1163,190,19,63.0196304321289,542,86,92,506,10.7563333511353,43.2745971679688,521.301025390625,25.4599990844727,0.60400003194809,24.8559989929199,4.97399997711182,17.156665802002,"Steller's Jay"
1,-123.437538,43.2690197,12.5155000686646,19.515998840332,6.28666687011719,1000,166,11,68.7957611083984,481,55,60,441,13.2829999923706,47.0094871520996,541.467956542969,29.8479995727539,1.59200000762939,28.2560005187988,6.63866662979126,19.2426662445068,"Steller's Jay"
1,-123.1109861,43.9592024,10.9068336486816,17.6133327484131,4.96799993515015,1476,244,17,67.0418395996094,705,93,98,639,11.8563327789307,44.9512176513672,516.921508789062,27.1280002593994,0.751999974250793,26.3759994506836,5.3600001335144,17.304666519165,"Steller's Jay"
1,-122.8702354,45.4519426,11.2721662521362,18.1459999084473,4.95533323287964,1175,197,18,64.3155899047852,553,84,88,516,11.1743335723877,43.4393310546875,541.50439453125,26.7159996032715,0.991999983787537,25.7239990234375,5.33599996566772,17.9613342285156,"Steller's Jay"
1,-119.123076,44.15038,4.90299987792969,13.8173332214355,-3.99333333969116,366,46,15,29.7342338562012,128,57,68,114,15.7766666412354,41.9636840820312,723.591735839844,26.9720001220703,-10.6239995956421,37.5960006713867,-2.78200006484985,13.764666557312,"Steller's Jay"
